timestamp,equity,cash,market_value,drawdown
2022-06-17T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-18T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-19T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-20T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-21T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-22T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-23T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-24T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-25T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-26T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-27T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-28T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-29T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-06-30T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-01T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-02T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-03T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-04T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-05T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-06T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-07T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-08T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-09T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-10T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-11T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-12T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-13T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-14T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-15T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-16T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-17T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-18T00:00:00Z,100000.0,100000.0,0.0,0.0
2022-07-19T00:00:00Z,100000.0,100000.0,0.0,0.0
