day,successful_transaction_count,unique_sending_addresses,unique_receiving_addresses,unique_active_addresses,native_fees_paid,block_count,native_transfer_count
2022-03-01 00:00:00.000 UTC,1130023,390738,297884,528534,5.907924241841597e+21,6495,597824
2022-03-02 00:00:00.000 UTC,1157563,412565,287990,547247,5.420022553707916e+21,6404,632914
2022-03-03 00:00:00.000 UTC,1124196,405259,282199,537343,4.916113518091223e+21,6451,626173
2022-03-04 00:00:00.000 UTC,1135199,397635,279788,530198,4.806990095249641e+21,6496,625957
2022-03-05 00:00:00.000 UTC,1044577,378189,254739,502811,3.594079735015803e+21,6376,568095
2022-03-06 00:00:00.000 UTC,1080513,392022,272401,521391,4.638111690544107e+21,6421,596131
2022-03-07 00:00:00.000 UTC,1145920,399885,295433,538250,4.265977141727821e+21,6446,618807
2022-03-08 00:00:00.000 UTC,1164909,460531,283189,592521,4.529345766217404e+21,6392,604978
2022-03-09 00:00:00.000 UTC,1152945,440748,275618,567595,3.875730398423827e+21,6508,592732
2022-03-10 00:00:00.000 UTC,1202732,513591,258437,632609,3.429821025830009e+21,6480,593314
2022-03-11 00:00:00.000 UTC,1085841,399157,259857,520899,3.1626859199189987e+21,6331,583640
2022-03-12 00:00:00.000 UTC,1087849,409965,262402,532700,2.497517040962336e+21,6509,590695
2022-03-13 00:00:00.000 UTC,1012489,374959,245192,492336,3.226138598528021e+21,6327,545328
2022-03-14 00:00:00.000 UTC,1072402,379190,263807,503765,3.357808984109569e+21,6458,561614
2022-03-15 00:00:00.000 UTC,1160269,446085,278088,573598,3.753379934101302e+21,6405,627832
2022-03-16 00:00:00.000 UTC,1206769,504752,270055,627476,4.1352090885392606e+21,6391,630209
2022-03-17 00:00:00.000 UTC,1131539,388097,290585,521312,6.290657398704937e+21,6426,578927
2022-03-18 00:00:00.000 UTC,1228057,513637,276911,637433,6.22303467906748e+21,6418,699530
2022-03-19 00:00:00.000 UTC,1101729,412816,269044,541424,3.1278166855492017e+21,6449,565337
2022-03-20 00:00:00.000 UTC,1088507,402440,255569,525552,2.743718435608687e+21,6426,579245
2022-03-21 00:00:00.000 UTC,1123893,438865,258933,561483,3.3720908391928667e+21,6407,614568
2022-03-22 00:00:00.000 UTC,1184311,473329,272390,600705,4.18551699889852e+21,6446,648783
2022-03-23 00:00:00.000 UTC,1136914,418898,277594,551530,3.876132575547086e+21,6440,592725
2022-03-24 00:00:00.000 UTC,1119495,399100,287569,534484,5.025659145895538e+21,6424,598960
2022-03-25 00:00:00.000 UTC,1118765,396222,284291,530250,4.683006717052591e+21,6424,602115
2022-03-26 00:00:00.000 UTC,1084959,411305,266598,538300,3.180793053286974e+21,6407,593507
2022-03-27 00:00:00.000 UTC,1091212,395740,275517,529663,5.882773444548043e+21,6395,595832
2022-03-28 00:00:00.000 UTC,1179709,401417,306873,546513,8.35512825790629e+21,6463,598257
2022-03-29 00:00:00.000 UTC,1167377,403404,309320,552462,4.812891926950122e+21,6452,589754
2022-03-30 00:00:00.000 UTC,1121111,387178,287218,521150,5.188487006002486e+21,6394,566743
2022-03-31 00:00:00.000 UTC,1132713,387042,301765,526345,5.194953989742902e+21,6414,577150
