architecture_id,engine_id,router_decision,candidate_count,hypothetical_net_pnl,hypothetical_return_on_initial_equity,hypothetical_win_rate,hypothetical_profit_factor,hypothetical_average_r
COMPOSITE_ALPHA_V1,COMPRESSION_EXPANSION_SPECIALIST,ADMITTED,275,17818.28728326049,0.17818287283260492,0.38545454545454544,1.2461729181032934,0.12958754387825816
COMPOSITE_ALPHA_V1,COMPRESSION_EXPANSION_SPECIALIST,REJECTED_ENGINE_CONFLICT,35,2632.9357875986925,0.026329357875986927,0.45714285714285713,1.3932954745652752,0.15045347357706812
COMPOSITE_ALPHA_V1,COMPRESSION_EXPANSION_SPECIALIST,REJECTED_GLOBAL_COOLDOWN,3,-841.1095290832121,-0.008411095290832121,0.3333333333333333,0.22054702448917665,-0.5607396860554749
COMPOSITE_ALPHA_V1,TREND_CONTINUATION_CORE,ADMITTED,279,31295.910861410604,0.31295910861410603,0.4265232974910394,1.4314383281181884,0.22434344703520145
COMPOSITE_ALPHA_V1,TREND_CONTINUATION_CORE,REJECTED_GLOBAL_COOLDOWN,9,782.634549553207,0.00782634549553207,0.3333333333333333,1.2844450821209235,0.17391878878960176
COMPOSITE_ALPHA_V1,TREND_CONTINUATION_CORE,REJECTED_MAX_POSITIONS,1,3112.3859740284247,0.031123859740284247,1.0,,6.2247719480568495
COMPOSITE_ALPHA_V1,TREND_CONTINUATION_CORE,REJECTED_SAME_SYMBOL_ACTIVE,29,-1827.334705271913,-0.01827334705271913,0.3793103448275862,0.7861022202240509,-0.1260230831222009
