record_type,venue,symbol,source_path,loaded_row_count,available_valid_close_hour_count,status,month,archive_sha256_verified,archive_bytes_verified,audit_row_count,minute_rows,candidate_hours,valid_hours,invalid_grid_hours,maintenance_invalidated_hours
KUCOIN_SYMBOL,KUCOIN_SPOT,BTC-USDT,data\raw\rd16b\kucoin\BTC-USDT\1h.parquet,17520.0,17520.0,READY,,,,,,,,,
KUCOIN_SYMBOL,KUCOIN_SPOT,ETH-USDT,data\raw\rd16b\kucoin\ETH-USDT\1h.parquet,17520.0,17520.0,READY,,,,,,,,,
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2022-01.zip,,,READY,2022-01,True,True,44640.0,44640.0,744.0,744.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2022-02.zip,,,READY,2022-02,True,True,40320.0,40320.0,672.0,672.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2022-03.zip,,,READY,2022-03,True,True,44640.0,44640.0,744.0,744.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2022-04.zip,,,READY,2022-04,True,True,43200.0,43200.0,720.0,720.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2022-05.zip,,,READY,2022-05,True,True,44640.0,44640.0,744.0,744.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2022-06.zip,,,READY,2022-06,True,True,43200.0,43200.0,720.0,720.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2022-07.zip,,,READY,2022-07,True,True,44640.0,44640.0,744.0,744.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2022-08.zip,,,READY,2022-08,True,True,44640.0,44640.0,744.0,744.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2022-09.zip,,,READY,2022-09,True,True,43200.0,43200.0,720.0,720.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2022-10.zip,,,READY,2022-10,True,True,44640.0,44640.0,744.0,744.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2022-11.zip,,,READY,2022-11,True,True,43200.0,43200.0,720.0,720.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2022-12.zip,,,READY,2022-12,True,True,44640.0,44640.0,744.0,744.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2023-01.zip,,,READY,2023-01,True,True,44640.0,44640.0,744.0,744.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2023-02.zip,,,READY,2023-02,True,True,40320.0,40320.0,672.0,672.0,0.0,0.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2023-03.zip,,,READY,2023-03,True,True,44560.0,44560.0,743.0,741.0,0.0,2.0
BINANCE_SYMBOL_MONTH,BINANCE_SPOT,BTCUSDT,data\raw\rd37\binance_spot_1m\BTCUSDT\BTCUSDT-1m-2023-04.zip,,,READY,2023-04,True,True,43200.0,43200.0,720.0,720.0,0.0,0.0
