period_id,universe_id,landmark_age_hours,data_quality_class,decision_row_count,decision_row_fraction,unique_control_position_count
ROBUSTNESS_2022,D2,120,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2022,D2,120,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2022,D2,120,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2022,D2,120,RECONSTRUCTED_VALID,21,1.0,21
ROBUSTNESS_2022,D2,144,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2022,D2,144,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2022,D2,144,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2022,D2,144,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2022,D2,144,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2022,D2,144,RECONSTRUCTED_VALID,21,1.0,21
ROBUSTNESS_2022,E2,24,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2022,E2,24,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2022,E2,24,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2022,E2,24,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2022,E2,24,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2022,E2,24,RECONSTRUCTED_VALID,45,1.0,45
ROBUSTNESS_2022,E2,48,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2022,E2,48,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2022,E2,48,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2022,E2,48,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2022,E2,48,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2022,E2,48,RECONSTRUCTED_VALID,45,1.0,45
ROBUSTNESS_2022,E2,72,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2022,E2,72,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2022,E2,72,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2022,E2,72,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2022,E2,72,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2022,E2,72,RECONSTRUCTED_VALID,21,1.0,21
ROBUSTNESS_2022,E2,96,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2022,E2,96,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2022,E2,96,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2022,E2,96,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2022,E2,96,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2022,E2,96,RECONSTRUCTED_VALID,21,1.0,21
ROBUSTNESS_2022,E2,120,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2022,E2,120,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2022,E2,120,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2022,E2,120,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2022,E2,120,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2022,E2,120,RECONSTRUCTED_VALID,21,1.0,21
ROBUSTNESS_2022,E2,144,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2022,E2,144,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2022,E2,144,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2022,E2,144,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2022,E2,144,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2022,E2,144,RECONSTRUCTED_VALID,21,1.0,21
ROBUSTNESS_2023,C2,24,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,C2,24,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,C2,24,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,C2,24,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,C2,24,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,C2,24,RECONSTRUCTED_VALID,124,1.0,124
ROBUSTNESS_2023,C2,48,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,C2,48,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,C2,48,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,C2,48,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,C2,48,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,C2,48,RECONSTRUCTED_VALID,124,1.0,124
ROBUSTNESS_2023,C2,72,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,C2,72,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,C2,72,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,C2,72,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,C2,72,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,C2,72,RECONSTRUCTED_VALID,60,1.0,60
ROBUSTNESS_2023,C2,96,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,C2,96,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,C2,96,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,C2,96,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,C2,96,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,C2,96,RECONSTRUCTED_VALID,60,1.0,60
ROBUSTNESS_2023,C2,120,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,C2,120,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,C2,120,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,C2,120,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,C2,120,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,C2,120,RECONSTRUCTED_VALID,60,1.0,60
ROBUSTNESS_2023,C2,144,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,C2,144,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,C2,144,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,C2,144,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,C2,144,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,C2,144,RECONSTRUCTED_VALID,60,1.0,60
ROBUSTNESS_2023,D2,24,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,D2,24,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,D2,24,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,D2,24,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,D2,24,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,D2,24,RECONSTRUCTED_VALID,127,1.0,127
ROBUSTNESS_2023,D2,48,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,D2,48,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,D2,48,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,D2,48,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,D2,48,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,D2,48,RECONSTRUCTED_VALID,127,1.0,127
ROBUSTNESS_2023,D2,72,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,D2,72,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,D2,72,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,D2,72,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,D2,72,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,D2,72,RECONSTRUCTED_VALID,60,1.0,60
ROBUSTNESS_2023,D2,96,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,D2,96,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,D2,96,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,D2,96,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,D2,96,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,D2,96,RECONSTRUCTED_VALID,60,1.0,60
ROBUSTNESS_2023,D2,120,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,D2,120,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,D2,120,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,D2,120,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,D2,120,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,D2,120,RECONSTRUCTED_VALID,60,1.0,60
ROBUSTNESS_2023,D2,144,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,D2,144,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,D2,144,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,D2,144,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,D2,144,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,D2,144,RECONSTRUCTED_VALID,60,1.0,60
ROBUSTNESS_2023,E2,24,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,E2,24,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,E2,24,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,E2,24,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,E2,24,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,E2,24,RECONSTRUCTED_VALID,126,1.0,126
ROBUSTNESS_2023,E2,48,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,E2,48,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,E2,48,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,E2,48,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,E2,48,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,E2,48,RECONSTRUCTED_VALID,126,1.0,126
ROBUSTNESS_2023,E2,72,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,E2,72,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,E2,72,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,E2,72,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,E2,72,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,E2,72,RECONSTRUCTED_VALID,60,1.0,60
ROBUSTNESS_2023,E2,96,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,E2,96,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,E2,96,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,E2,96,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,E2,96,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,E2,96,RECONSTRUCTED_VALID,60,1.0,60
ROBUSTNESS_2023,E2,120,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,E2,120,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,E2,120,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,E2,120,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,E2,120,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,E2,120,RECONSTRUCTED_VALID,60,1.0,60
ROBUSTNESS_2023,E2,144,GEOMETRY_VIOLATION,0,0.0,0
ROBUSTNESS_2023,E2,144,INVALID_ENTRY_PRICE,0,0.0,0
ROBUSTNESS_2023,E2,144,INVALID_RAW_PRICE,0,0.0,0
ROBUSTNESS_2023,E2,144,INVALID_SIGNAL_ATR,0,0.0,0
ROBUSTNESS_2023,E2,144,MISSING_REQUIRED_HOURLY_BAR,0,0.0,0
ROBUSTNESS_2023,E2,144,RECONSTRUCTED_VALID,60,1.0,60
