order_id,signal_id,created_at,symbol,side,reason,stop_loss,status,rejection_reason
ADA_USDT-ORD-000001,ADA_USDT-SIG-000001,2020-05-20T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.050042142857142854,ACCEPTED,
ETH_USDT-ORD-000001,ETH_USDT-SIG-000001,2020-05-31T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,220.28,ACCEPTED,
BTC_USDT-ORD-000001,BTC_USDT-SIG-000001,2020-06-02T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,9295.528571428571,REJECTED,simultaneous_signal_slot_limit
ADA_USDT-ORD-000002,ADA_USDT-SIG-000002,2020-06-19T00:00:00Z,ADA/USDT,sell,rsi_failure_below_45,,ACCEPTED,
ADA_USDT-ORD-000003,ADA_USDT-SIG-000003,2020-07-02T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.08656428571428572,ACCEPTED,
ADA_USDT-ORD-000004,ADA_USDT-SIG-000004,2020-07-23T00:00:00Z,ADA/USDT,sell,rsi_failure_below_45,,ACCEPTED,
BTC_USDT-ORD-000002,BTC_USDT-SIG-000002,2020-07-23T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,9192.542857142857,ACCEPTED,
ETH_USDT-ORD-000002,ETH_USDT-SIG-000002,2020-07-23T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,247.53285714285713,ACCEPTED,
ADA_USDT-ORD-000005,ADA_USDT-SIG-000005,2020-07-26T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.12604628571428572,REJECTED,simultaneous_signal_slot_limit
ADA_USDT-ORD-000006,ADA_USDT-SIG-000006,2020-07-27T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.12900514285714287,REJECTED,simultaneous_signal_slot_limit
BTC_USDT-ORD-000003,BTC_USDT-SIG-000003,2020-08-22T00:00:00Z,BTC/USDT,sell,time_stop_30_bars,,ACCEPTED,
ETH_USDT-ORD-000003,ETH_USDT-SIG-000003,2020-08-22T00:00:00Z,ETH/USDT,sell,time_stop_30_bars,,ACCEPTED,
ETH_USDT-ORD-000004,ETH_USDT-SIG-000004,2020-09-02T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,424.0157142857143,ACCEPTED,
BTC_USDT-ORD-000004,BTC_USDT-SIG-000004,2020-10-13T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,10970.885714285714,ACCEPTED,
ETH_USDT-ORD-000005,ETH_USDT-SIG-000005,2020-10-23T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,379.62285714285713,ACCEPTED,
ETH_USDT-ORD-000006,ETH_USDT-SIG-000006,2020-11-07T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,412.29857142857145,ACCEPTED,
BTC_USDT-ORD-000005,BTC_USDT-SIG-000005,2020-11-12T00:00:00Z,BTC/USDT,sell,time_stop_30_bars,,ACCEPTED,
BTC_USDT-ORD-000006,BTC_USDT-SIG-000006,2020-12-01T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,17164.385714285716,ACCEPTED,
ETH_USDT-ORD-000007,ETH_USDT-SIG-000007,2020-12-07T00:00:00Z,ETH/USDT,sell,time_stop_30_bars,,ACCEPTED,
ETH_USDT-ORD-000008,ETH_USDT-SIG-000008,2020-12-18T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,573.9271428571428,ACCEPTED,
ETH_USDT-ORD-000009,ETH_USDT-SIG-000009,2020-12-28T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,585.1585714285715,ACCEPTED,
BTC_USDT-ORD-000007,BTC_USDT-SIG-000007,2020-12-31T00:00:00Z,BTC/USDT,sell,time_stop_30_bars,,ACCEPTED,
ETH_USDT-ORD-000010,ETH_USDT-SIG-000010,2021-01-22T00:00:00Z,ETH/USDT,sell,rsi_failure_below_45,,ACCEPTED,
ETH_USDT-ORD-000011,ETH_USDT-SIG-000011,2021-04-02T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,1754.7485714285713,ACCEPTED,
ADA_USDT-ORD-000007,ADA_USDT-SIG-000007,2021-04-14T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,1.2369169999999998,ACCEPTED,
BTC_USDT-ORD-000008,BTC_USDT-SIG-000008,2021-04-14T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,58660.7,REJECTED,simultaneous_signal_slot_limit
ETH_USDT-ORD-000012,ETH_USDT-SIG-000012,2021-05-02T00:00:00Z,ETH/USDT,sell,time_stop_30_bars,,ACCEPTED,
ETH_USDT-ORD-000013,ETH_USDT-SIG-000013,2021-09-01T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,3081.7171428571432,ACCEPTED,
BTC_USDT-ORD-000009,BTC_USDT-SIG-000009,2021-10-05T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,43811.28571428571,ACCEPTED,
ETH_USDT-ORD-000014,ETH_USDT-SIG-000014,2021-10-21T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,3759.7200000000003,ACCEPTED,
BTC_USDT-ORD-000010,BTC_USDT-SIG-000010,2021-11-04T00:00:00Z,BTC/USDT,sell,rsi_failure_below_45,,ACCEPTED,
BTC_USDT-ORD-000011,BTC_USDT-SIG-000011,2021-11-09T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,61704.2,ACCEPTED,
ETH_USDT-ORD-000015,ETH_USDT-SIG-000015,2021-11-17T00:00:00Z,ETH/USDT,sell,trailing_stop_close,,ACCEPTED,
BTC_USDT-ORD-000012,BTC_USDT-SIG-000012,2023-03-15T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,22396.714285714283,ACCEPTED,
ETH_USDT-ORD-000016,ETH_USDT-SIG-000016,2023-03-15T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,1542.0614285714285,ACCEPTED,
BTC_USDT-ORD-000013,BTC_USDT-SIG-000013,2023-04-14T00:00:00Z,BTC/USDT,sell,time_stop_30_bars,,ACCEPTED,
ETH_USDT-ORD-000017,ETH_USDT-SIG-000017,2023-04-14T00:00:00Z,ETH/USDT,sell,time_stop_30_bars,,ACCEPTED,
BTC_USDT-ORD-000014,BTC_USDT-SIG-000014,2023-06-21T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,26516.714285714286,ACCEPTED,
ETH_USDT-ORD-000018,ETH_USDT-SIG-000018,2023-07-14T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,1882.96,ACCEPTED,
BTC_USDT-ORD-000015,BTC_USDT-SIG-000015,2023-07-18T00:00:00Z,BTC/USDT,sell,rsi_failure_below_45,,ACCEPTED,
BTC_USDT-ORD-000016,BTC_USDT-SIG-000016,2023-12-02T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,36520.514285714286,ACCEPTED,
ETH_USDT-ORD-000019,ETH_USDT-SIG-000019,2023-12-05T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,2094.241428571429,ACCEPTED,
BTC_USDT-ORD-000017,BTC_USDT-SIG-000017,2023-12-20T00:00:00Z,BTC/USDT,sell,rsi_failure_below_45,,ACCEPTED,
ETH_USDT-ORD-000020,ETH_USDT-SIG-000020,2023-12-20T00:00:00Z,ETH/USDT,sell,rsi_failure_below_45,,ACCEPTED,
BTC_USDT-ORD-000018,BTC_USDT-SIG-000018,2024-01-03T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,42113.171428571426,ACCEPTED,
BTC_USDT-ORD-000019,BTC_USDT-SIG-000019,2024-01-09T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,43051.04285714285,ACCEPTED,
