trade_count,final_equity,net_return,net_pnl,profit_factor,win_rate,maximum_drawdown,turnover,mean_holding_hours,policy_id,portfolio_id,universe_id,cost_multiplier,minimum_cash
169,120498.90945214483,0.2049890945214483,20498.909452144828,1.2409199945187492,0.34911242603550297,0.1804111253023651,57.16549329832082,118.01183431952663,RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,8951.807119202946
169,112028.48191427832,0.12028481914278322,12028.481914278324,1.138721406757252,0.33727810650887574,0.1953668009621261,55.109518285129646,118.01183431952663,RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,2.0,8700.997835092034
166,121598.30498661214,0.2159830498661215,21598.304986612144,1.2814503483710618,0.3433734939759036,0.20294288247146203,52.56472043158007,118.26506024096386,RD31_REGIME_HYSTERESIS_CONTROL,MOMENTUM_BREAKOUT,C2,1.0,8793.915357593221
166,113559.3165119959,0.1355931651199591,13559.316511995901,1.172527840861672,0.3313253012048193,0.21750586048320625,50.77989007569286,118.26506024096386,RD31_REGIME_HYSTERESIS_CONTROL,MOMENTUM_BREAKOUT,C2,2.0,8618.97171352877
100,120052.12479647667,0.20052124796476667,20052.124796476666,1.3843189985066906,0.35,0.22988867317894932,33.70650918708951,118.08,RD31_REGIME_HYSTERESIS_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,1.0,8278.43358120101
100,114790.51183119719,0.14790511831197195,14790.51183119719,1.2744781509596388,0.34,0.24946069571483231,32.97916405197196,118.08,RD31_REGIME_HYSTERESIS_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,2.0,7994.221325400875
172,143445.27497255622,0.43445274972556214,43445.27497255622,1.5127760634625176,0.3546511627906977,0.1804111253023651,59.00778208522122,117.20930232558139,RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,D2,1.0,8951.807119202946
172,133558.2861159497,0.3355828611594971,33558.28611594971,1.3880285202545797,0.3430232558139535,0.1953668009621261,56.868304326863885,117.20930232558139,RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,D2,2.0,8708.853796713625
169,125592.05148390698,0.25592051483906975,25592.05148390698,1.3336560784773484,0.34911242603550297,0.20294288247146203,53.13678113917971,118.01183431952663,RD31_REGIME_HYSTERESIS_CONTROL,MOMENTUM_BREAKOUT,D2,1.0,8793.915357593221
169,117408.66559807805,0.17408665598078055,17408.66559807805,1.221501535232248,0.33727810650887574,0.21750586048320625,51.350620219668,118.01183431952663,RD31_REGIME_HYSTERESIS_CONTROL,MOMENTUM_BREAKOUT,D2,2.0,8618.97171352877
