order_id,signal_id,created_at,symbol,side,reason,stop_loss,status,rejection_reason
ADA_USDT-ORD-000001,ADA_USDT-SIG-000001,2020-05-20T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.050042142857142854,ACCEPTED,
ADA_USDT-ORD-000002,ADA_USDT-SIG-000002,2020-06-19T00:00:00Z,ADA/USDT,sell,rsi_failure_below_45,,ACCEPTED,
ADA_USDT-ORD-000003,ADA_USDT-SIG-000003,2020-07-02T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.08656428571428572,ACCEPTED,
ADA_USDT-ORD-000004,ADA_USDT-SIG-000004,2020-07-23T00:00:00Z,ADA/USDT,sell,rsi_failure_below_45,,ACCEPTED,
ADA_USDT-ORD-000005,ADA_USDT-SIG-000005,2020-07-26T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.12604628571428572,ACCEPTED,
ADA_USDT-ORD-000006,ADA_USDT-SIG-000006,2020-09-28T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.087692,ACCEPTED,
ADA_USDT-ORD-000007,ADA_USDT-SIG-000007,2020-09-29T00:00:00Z,ADA/USDT,sell,momentum_failure_close_below_ema50,,ACCEPTED,
ADA_USDT-ORD-000008,ADA_USDT-SIG-000008,2020-11-21T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.10351028571428571,ACCEPTED,
ADA_USDT-ORD-000009,ADA_USDT-SIG-000009,2020-12-09T00:00:00Z,ADA/USDT,sell,rsi_failure_below_45,,ACCEPTED,
ADA_USDT-ORD-000010,ADA_USDT-SIG-000010,2021-04-14T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,1.2369169999999998,ACCEPTED,
ADA_USDT-ORD-000011,ADA_USDT-SIG-000011,2024-02-10T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.49384414285714284,ACCEPTED,
ADA_USDT-ORD-000012,ADA_USDT-SIG-000012,2024-03-11T00:00:00Z,ADA/USDT,sell,time_stop_30_bars,,ACCEPTED,
RISK-ORD-000001,,2020-08-03T00:00:00Z,ADA/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000002,,2021-04-19T00:00:00Z,ADA/USDT,sell,stop_loss,,ACCEPTED,
