policy_id,portfolio_id,universe_id,cost_multiplier,timestamp,equity,cash,gross_exposure,gross_exposure_fraction,open_positions,governor_state,pending_mb_count
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-01 23:00:00+00:00,99985.73760690913,90988.75,8996.987606909126,0.0899827097568706,1,CAUTION,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-02 23:00:00+00:00,99954.67712682835,81963.49805824111,17991.179068587233,0.17999336885215458,2,CAUTION,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-03 23:00:00+00:00,99365.16160666323,81963.49805824111,17401.66354842212,0.1751284179188131,2,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-04 23:00:00+00:00,99442.5693264721,90481.95205979135,8960.61726668076,0.09010846488954705,1,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-05 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-06 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-07 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-08 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-09 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-10 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-11 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-12 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-13 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-14 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-15 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-16 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-17 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-18 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-19 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-20 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-21 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-22 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-23 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-24 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2022-01-25 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,LOCKED,
