policy_id,universe_id,gate_id,passed
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,C2,STRESS_2X_LOAO_MIN_REMAINING_PNL_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,C2,STRESS_2X_LOYO_MIN_REMAINING_PNL_POSITIVE,False
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,C2,PF1_BREAK_EVEN_COST_MULTIPLIER_GTE_2,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,C2,CASH_FEASIBLE_BASE_AND_2X,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,C2,MOMENTUM_BREAKOUT_STANDALONE_2X_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,C2,RELATIVE_STRENGTH_STANDALONE_2X_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,C2,NO_2024_OR_POST_2024_ACCESS,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,C2,MOMENTUM_BREAKOUT_2022_2X_NET_PNL_POSITIVE,False
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,C2,MOMENTUM_BREAKOUT_2023_2X_NET_PNL_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,BASE_NET_RETURN_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,STRESS_2X_NET_RETURN_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,STRESS_2X_PROFIT_FACTOR_GTE_1_05,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,STRESS_2X_MAX_DRAWDOWN_LTE_20PCT,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,STRESS_2X_TRADES_GTE_75,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,BOTH_2022_2023_NET_PNL_POSITIVE,False
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,STRESS_2X_LARGEST_WINNER_REMOVAL_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,STRESS_2X_LOAO_MIN_REMAINING_PNL_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,STRESS_2X_LOYO_MIN_REMAINING_PNL_POSITIVE,False
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,PF1_BREAK_EVEN_COST_MULTIPLIER_GTE_2,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,CASH_FEASIBLE_BASE_AND_2X,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,MOMENTUM_BREAKOUT_STANDALONE_2X_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,RELATIVE_STRENGTH_STANDALONE_2X_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,NO_2024_OR_POST_2024_ACCESS,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,MOMENTUM_BREAKOUT_2022_2X_NET_PNL_POSITIVE,False
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,D2,MOMENTUM_BREAKOUT_2023_2X_NET_PNL_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,BASE_NET_RETURN_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,STRESS_2X_NET_RETURN_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,STRESS_2X_PROFIT_FACTOR_GTE_1_05,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,STRESS_2X_MAX_DRAWDOWN_LTE_20PCT,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,STRESS_2X_TRADES_GTE_75,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,BOTH_2022_2023_NET_PNL_POSITIVE,False
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,STRESS_2X_LARGEST_WINNER_REMOVAL_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,STRESS_2X_LOAO_MIN_REMAINING_PNL_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,STRESS_2X_LOYO_MIN_REMAINING_PNL_POSITIVE,False
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,PF1_BREAK_EVEN_COST_MULTIPLIER_GTE_2,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,CASH_FEASIBLE_BASE_AND_2X,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,MOMENTUM_BREAKOUT_STANDALONE_2X_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,RELATIVE_STRENGTH_STANDALONE_2X_POSITIVE,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,NO_2024_OR_POST_2024_ACCESS,True
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,MOMENTUM_BREAKOUT_2022_2X_NET_PNL_POSITIVE,False
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,E2,MOMENTUM_BREAKOUT_2023_2X_NET_PNL_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,BASE_NET_RETURN_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,STRESS_2X_NET_RETURN_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,STRESS_2X_PROFIT_FACTOR_GTE_1_05,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,STRESS_2X_MAX_DRAWDOWN_LTE_20PCT,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,STRESS_2X_TRADES_GTE_75,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,BOTH_2022_2023_NET_PNL_POSITIVE,False
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,STRESS_2X_LARGEST_WINNER_REMOVAL_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,STRESS_2X_LOAO_MIN_REMAINING_PNL_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,STRESS_2X_LOYO_MIN_REMAINING_PNL_POSITIVE,False
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,PF1_BREAK_EVEN_COST_MULTIPLIER_GTE_2,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,CASH_FEASIBLE_BASE_AND_2X,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,MOMENTUM_BREAKOUT_STANDALONE_2X_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,RELATIVE_STRENGTH_STANDALONE_2X_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,NO_2024_OR_POST_2024_ACCESS,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,MOMENTUM_BREAKOUT_2022_2X_NET_PNL_POSITIVE,False
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,C2,MOMENTUM_BREAKOUT_2023_2X_NET_PNL_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,BASE_NET_RETURN_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,STRESS_2X_NET_RETURN_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,STRESS_2X_PROFIT_FACTOR_GTE_1_05,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,STRESS_2X_MAX_DRAWDOWN_LTE_20PCT,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,STRESS_2X_TRADES_GTE_75,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,BOTH_2022_2023_NET_PNL_POSITIVE,False
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,STRESS_2X_LARGEST_WINNER_REMOVAL_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,STRESS_2X_LOAO_MIN_REMAINING_PNL_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,STRESS_2X_LOYO_MIN_REMAINING_PNL_POSITIVE,False
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,PF1_BREAK_EVEN_COST_MULTIPLIER_GTE_2,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,CASH_FEASIBLE_BASE_AND_2X,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,MOMENTUM_BREAKOUT_STANDALONE_2X_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,RELATIVE_STRENGTH_STANDALONE_2X_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,NO_2024_OR_POST_2024_ACCESS,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,MOMENTUM_BREAKOUT_2022_2X_NET_PNL_POSITIVE,False
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,D2,MOMENTUM_BREAKOUT_2023_2X_NET_PNL_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,E2,BASE_NET_RETURN_POSITIVE,True
MB_ONE_BAR_POST_BREAKOUT_CONTINUATION,E2,STRESS_2X_NET_RETURN_POSITIVE,True
