policy_id,portfolio_id,universe_id,cost_multiplier,total_net_pnl,positive_net_pnl_pool,largest_winner_net_pnl,largest_winner_positive_pnl_share,net_pnl_without_largest_winner,top_asset,top_asset_positive_contribution_share,minimum_loao_remaining_net_pnl,minimum_loyo_remaining_net_pnl
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,20498.90945214485,105584.87125906136,11637.67204244871,0.11022101844396537,8861.23740969614,SOL-USDT,0.19318001631178672,102.02230004147714,-13994.924720618561
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,2.0,12028.481914278243,98738.11235600855,10780.958714942397,0.10918740957970459,1247.5231993358466,SOL-USDT,0.18214073049737367,-5955.749998176911,-15661.21679979741
RD31_REGIME_HYSTERESIS_CONTROL,MOMENTUM_BREAKOUT,C2,1.0,21598.304986612147,98337.61304437694,9424.548505254186,0.09583869501694289,12173.756481357961,SOL-USDT,0.15288618302409115,6563.842680557282,-17099.85970819539
RD31_REGIME_HYSTERESIS_CONTROL,MOMENTUM_BREAKOUT,C2,2.0,13559.316511995923,92151.36544899855,8760.855813623963,0.09507027672284123,4798.4606983719605,SOL-USDT,0.1409496303630365,570.6156145104833,-18701.587533997932
RD31_REGIME_HYSTERESIS_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,1.0,20052.12479647677,72227.85608842768,11405.812727334516,0.1579143192810613,8646.312069142255,SOL-USDT,0.33588431752303854,-4208.079351937005,-13385.624961844816
RD31_REGIME_HYSTERESIS_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,2.0,14790.511831197175,68676.44693927826,10858.42629667787,0.15810990202039102,3932.085534519305,SOL-USDT,0.32166880202900655,-7300.558583369097,-14350.513667052364
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,D2,1.0,43445.27497255624,128170.90486875742,13134.30640104464,0.10247494479729011,30310.9685715116,SOL-USDT,0.19033975626140073,19049.25618003377,-13994.924720618561
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,D2,2.0,33558.28611594971,120042.35716807918,12187.448234169691,0.10152623225404717,21370.83788178002,SOL-USDT,0.1808739331261289,11845.752833227678,-15661.21679979741
RD31_REGIME_HYSTERESIS_CONTROL,MOMENTUM_BREAKOUT,D2,1.0,25592.051483906987,102293.94044902713,9584.413452636878,0.09369483090166786,16007.63803127011,SOL-USDT,0.1492132595630958,10328.439195954437,-17099.859708195385
RD31_REGIME_HYSTERESIS_CONTROL,MOMENTUM_BREAKOUT,D2,2.0,17408.66559807804,96002.54793765086,8918.43706479082,0.0928979204862659,8490.228533287222,SOL-USDT,0.13755521322337216,4203.01464652747,-18701.587533997932
RD31_REGIME_HYSTERESIS_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,1.0,32328.719254319774,81151.27286229315,9793.814511474604,0.12068590135479304,22534.90474284517,SOL-USDT,0.27173071890415196,10277.42553946186,-13385.62496184482
RD31_REGIME_HYSTERESIS_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,2.0,26565.025081912303,77102.43813560542,9383.752366648501,0.12170500172957752,17181.272715263804,SOL-USDT,0.25982847107440604,6531.616465028968,-14350.513667052364
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,E2,1.0,29819.080676441372,116761.454832514,11770.622273576533,0.10080914365499002,18048.45840286484,SOL-USDT,0.18655854433288457,8036.233628697708,-13994.924720618568
