affected,capacity_after_omission,completed_bar_count,decision_time,effective_end,omitted_pair,removed_effective_pair,removed_original_pair,replacement_pair,resolution_mode,resolution_source,universe_id
False,6,0,2022-07-25T00:00:00+00:00,2022-08-01T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-08-01T00:00:00+00:00,2022-08-08T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-08-08T00:00:00+00:00,2022-08-15T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-08-15T00:00:00+00:00,2022-08-22T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-08-22T00:00:00+00:00,2022-08-29T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-08-29T00:00:00+00:00,2022-09-05T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-09-05T00:00:00+00:00,2022-09-12T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-09-12T00:00:00+00:00,2022-09-19T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-09-19T00:00:00+00:00,2022-09-26T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-09-26T00:00:00+00:00,2022-10-03T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-10-03T00:00:00+00:00,2022-10-10T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-10-10T00:00:00+00:00,2022-10-17T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-10-17T00:00:00+00:00,2022-10-24T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-10-24T00:00:00+00:00,2022-10-31T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-10-31T00:00:00+00:00,2022-11-07T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-11-07T00:00:00+00:00,2022-11-14T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-11-14T00:00:00+00:00,2022-11-21T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-11-21T00:00:00+00:00,2022-11-28T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-11-28T00:00:00+00:00,2022-12-05T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-12-05T00:00:00+00:00,2022-12-12T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-12-12T00:00:00+00:00,2022-12-19T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-12-19T00:00:00+00:00,2022-12-26T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2022-12-26T00:00:00+00:00,2023-01-02T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-01-02T00:00:00+00:00,2023-01-09T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-01-09T00:00:00+00:00,2023-01-16T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-01-16T00:00:00+00:00,2023-01-23T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-01-23T00:00:00+00:00,2023-01-30T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-01-30T00:00:00+00:00,2023-02-06T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-02-06T00:00:00+00:00,2023-02-13T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-02-13T00:00:00+00:00,2023-02-20T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-02-20T00:00:00+00:00,2023-02-27T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-02-27T00:00:00+00:00,2023-03-06T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-03-06T00:00:00+00:00,2023-03-13T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-03-13T00:00:00+00:00,2023-03-20T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-03-20T00:00:00+00:00,2023-03-27T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-03-27T00:00:00+00:00,2023-04-03T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-04-03T00:00:00+00:00,2023-04-10T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-04-10T00:00:00+00:00,2023-04-17T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-04-17T00:00:00+00:00,2023-04-24T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-04-24T00:00:00+00:00,2023-05-01T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-05-01T00:00:00+00:00,2023-05-08T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-05-08T00:00:00+00:00,2023-05-15T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-05-15T00:00:00+00:00,2023-05-22T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-05-22T00:00:00+00:00,2023-05-29T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-05-29T00:00:00+00:00,2023-06-05T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-06-05T00:00:00+00:00,2023-06-12T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-06-12T00:00:00+00:00,2023-06-19T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-06-19T00:00:00+00:00,2023-06-26T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-06-26T00:00:00+00:00,2023-07-03T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-07-03T00:00:00+00:00,2023-07-10T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-07-10T00:00:00+00:00,2023-07-17T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-07-17T00:00:00+00:00,2023-07-24T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-07-24T00:00:00+00:00,2023-07-31T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-07-31T00:00:00+00:00,2023-08-07T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-08-07T00:00:00+00:00,2023-08-14T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-08-14T00:00:00+00:00,2023-08-21T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-08-21T00:00:00+00:00,2023-08-28T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-08-28T00:00:00+00:00,2023-09-04T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-09-04T00:00:00+00:00,2023-09-11T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-09-11T00:00:00+00:00,2023-09-18T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-09-18T00:00:00+00:00,2023-09-25T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-09-25T00:00:00+00:00,2023-10-02T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-10-02T00:00:00+00:00,2023-10-09T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-10-09T00:00:00+00:00,2023-10-16T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-10-16T00:00:00+00:00,2023-10-23T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-10-23T00:00:00+00:00,2023-10-30T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-10-30T00:00:00+00:00,2023-11-06T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-11-06T00:00:00+00:00,2023-11-13T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-11-13T00:00:00+00:00,2023-11-20T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-11-20T00:00:00+00:00,2023-11-27T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-11-27T00:00:00+00:00,2023-12-04T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-12-04T00:00:00+00:00,2023-12-11T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-12-11T00:00:00+00:00,2023-12-18T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-12-18T00:00:00+00:00,2023-12-25T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2023-12-25T00:00:00+00:00,2024-01-01T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-01-01T00:00:00+00:00,2024-01-08T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-01-08T00:00:00+00:00,2024-01-15T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-01-15T00:00:00+00:00,2024-01-22T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-01-22T00:00:00+00:00,2024-01-29T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-01-29T00:00:00+00:00,2024-02-05T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-02-05T00:00:00+00:00,2024-02-12T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-02-12T00:00:00+00:00,2024-02-19T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-02-19T00:00:00+00:00,2024-02-26T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-02-26T00:00:00+00:00,2024-03-04T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-03-04T00:00:00+00:00,2024-03-11T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-03-11T00:00:00+00:00,2024-03-18T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-03-18T00:00:00+00:00,2024-03-25T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-03-25T00:00:00+00:00,2024-04-01T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-04-01T00:00:00+00:00,2024-04-08T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-04-08T00:00:00+00:00,2024-04-15T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-04-15T00:00:00+00:00,2024-04-22T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-04-22T00:00:00+00:00,2024-04-29T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-04-29T00:00:00+00:00,2024-05-06T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-05-06T00:00:00+00:00,2024-05-13T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-05-13T00:00:00+00:00,2024-05-20T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-05-20T00:00:00+00:00,2024-05-27T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-05-27T00:00:00+00:00,2024-06-03T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-06-03T00:00:00+00:00,2024-06-10T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-06-10T00:00:00+00:00,2024-06-17T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-06-17T00:00:00+00:00,2024-06-24T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-06-24T00:00:00+00:00,2024-07-01T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-07-01T00:00:00+00:00,2024-07-08T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-07-08T00:00:00+00:00,2024-07-15T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-07-15T00:00:00+00:00,2024-07-22T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-07-22T00:00:00+00:00,2024-07-29T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-07-29T00:00:00+00:00,2024-08-05T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-08-05T00:00:00+00:00,2024-08-12T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-08-12T00:00:00+00:00,2024-08-19T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-08-19T00:00:00+00:00,2024-08-26T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-08-26T00:00:00+00:00,2024-09-02T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-09-02T00:00:00+00:00,2024-09-09T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-09-09T00:00:00+00:00,2024-09-16T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-09-16T00:00:00+00:00,2024-09-23T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-09-23T00:00:00+00:00,2024-09-30T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-09-30T00:00:00+00:00,2024-10-07T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-10-07T00:00:00+00:00,2024-10-14T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-10-14T00:00:00+00:00,2024-10-21T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-10-21T00:00:00+00:00,2024-10-28T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-10-28T00:00:00+00:00,2024-11-04T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-11-04T00:00:00+00:00,2024-11-11T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-11-11T00:00:00+00:00,2024-11-18T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-11-18T00:00:00+00:00,2024-11-25T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-11-25T00:00:00+00:00,2024-12-02T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-12-02T00:00:00+00:00,2024-12-09T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-12-09T00:00:00+00:00,2024-12-16T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-12-16T00:00:00+00:00,2024-12-23T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-12-23T00:00:00+00:00,2024-12-30T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
False,6,0,2024-12-30T00:00:00+00:00,2025-01-01T00:00:00+00:00,BNB-USDT,,,,NO_EFFECT,BASE_MEMBERSHIP,D2
