2024_market_data_accessed,candidate_count,cash_feasible,cost_multiplier,diagnostics,ending_equity,entry_turnover_notional,evaluated_count,execution_order,exit_turnover_notional,initial_equity,long_only,maximum_drawdown,maximum_gross_exposure,maximum_open_positions,minimum_cash,net_pnl,net_return,partition_end,partition_id,partition_start,post_2024_accessed,profit_factor,run_id,schema_version,spot_only,technical_valid,total_fees,trade_count,turnover_on_initial_equity,universe_id,variant_id,win_rate,year_returns
False,0,True,1.0,"{'candidate_signals': 0, 'market_gate_off_hours': 154, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,11,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2022-12-31 23:00:00+00:00,VALIDATION_2022,2022-01-01 00:00:00+00:00,False,,011_RD19_P2_V01_VALIDATION_2022_E2_1x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,E2,RD19_P2_V01,,{'2022': 0.0}
False,0,True,2.0,"{'candidate_signals': 0, 'market_gate_off_hours': 154, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,12,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2022-12-31 23:00:00+00:00,VALIDATION_2022,2022-01-01 00:00:00+00:00,False,,012_RD19_P2_V01_VALIDATION_2022_E2_2x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,E2,RD19_P2_V01,,{'2022': 0.0}
False,0,True,1.0,"{'candidate_signals': 0, 'market_gate_off_hours': 366, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,13,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2023-12-31 23:00:00+00:00,STRESS_2023,2023-01-01 00:00:00+00:00,False,,013_RD19_P2_V01_STRESS_2023_C2_1x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,C2,RD19_P2_V01,,{'2023': 0.0}
False,0,True,2.0,"{'candidate_signals': 0, 'market_gate_off_hours': 366, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,14,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2023-12-31 23:00:00+00:00,STRESS_2023,2023-01-01 00:00:00+00:00,False,,014_RD19_P2_V01_STRESS_2023_C2_2x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,C2,RD19_P2_V01,,{'2023': 0.0}
False,0,True,1.0,"{'candidate_signals': 0, 'market_gate_off_hours': 375, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,15,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2023-12-31 23:00:00+00:00,STRESS_2023,2023-01-01 00:00:00+00:00,False,,015_RD19_P2_V01_STRESS_2023_D2_1x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,D2,RD19_P2_V01,,{'2023': 0.0}
False,0,True,2.0,"{'candidate_signals': 0, 'market_gate_off_hours': 375, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,16,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2023-12-31 23:00:00+00:00,STRESS_2023,2023-01-01 00:00:00+00:00,False,,016_RD19_P2_V01_STRESS_2023_D2_2x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,D2,RD19_P2_V01,,{'2023': 0.0}
False,0,True,1.0,"{'candidate_signals': 0, 'market_gate_off_hours': 375, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,17,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2023-12-31 23:00:00+00:00,STRESS_2023,2023-01-01 00:00:00+00:00,False,,017_RD19_P2_V01_STRESS_2023_E2_1x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,E2,RD19_P2_V01,,{'2023': 0.0}
False,0,True,2.0,"{'candidate_signals': 0, 'market_gate_off_hours': 375, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,18,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2023-12-31 23:00:00+00:00,STRESS_2023,2023-01-01 00:00:00+00:00,False,,018_RD19_P2_V01_STRESS_2023_E2_2x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,E2,RD19_P2_V01,,{'2023': 0.0}
False,0,True,1.0,"{'candidate_signals': 0, 'market_gate_off_hours': 1093, 'missing_membership_hours': 2160, 'ranking_refreshes': 1096, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,19,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2021-12-31 23:00:00+00:00,DISCOVERY_CORE,2019-01-01 00:00:00+00:00,False,,019_RD19_P2_V02_DISCOVERY_CORE_C2_1x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,C2,RD19_P2_V02,,"{'2019': 0.0, '2020': 0.0, '2021': 0.0}"
False,0,True,2.0,"{'candidate_signals': 0, 'market_gate_off_hours': 1093, 'missing_membership_hours': 2160, 'ranking_refreshes': 1096, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,20,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2021-12-31 23:00:00+00:00,DISCOVERY_CORE,2019-01-01 00:00:00+00:00,False,,020_RD19_P2_V02_DISCOVERY_CORE_C2_2x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,C2,RD19_P2_V02,,"{'2019': 0.0, '2020': 0.0, '2021': 0.0}"
