trade_count,final_equity,net_return,net_pnl,profit_factor,win_rate,maximum_drawdown,turnover,mean_holding_hours,policy_id,portfolio_id,universe_id,cost_multiplier,minimum_cash,atomic_replacement_count
365,112654.4445578775,0.12654444557877498,12654.444557877505,1.1041715293162906,0.32602739726027397,0.35755460761712166,74.70865387622304,116.18630136986302,FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,7321.172524126754,0.0
365,100633.1656758773,0.006331656758773008,633.1656758773024,1.005202811385666,0.3232876712328767,0.3870329545351327,70.59992746859801,116.18630136986302,FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,2.0,6913.125703006246,0.0
354,118868.41464252185,0.18868414642521847,18868.41464252185,1.1693350888092116,0.327683615819209,0.3505002039952312,71.64581592609612,116.20338983050847,FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,1.0,7677.364434438172,0.0
354,106794.87516800553,0.06794875168005521,6794.875168005528,1.060525936090599,0.3248587570621469,0.3796942949665552,67.88726525544212,116.20338983050847,FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,2.0,7256.847755687988,0.0
100,120052.12479647667,0.20052124796476667,20052.124796476666,1.3843189985066906,0.35,0.22988867317894932,33.70650918708951,118.08,FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,1.0,8278.43358120101,0.0
100,114790.51183119719,0.14790511831197195,14790.51183119719,1.2744781509596388,0.34,0.24946069571483231,32.97916405197196,118.08,FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,2.0,7994.221325400875,0.0
376,129618.81841699196,0.29618818416991965,29618.818416991955,1.2413060478462057,0.324468085106383,0.35755460761712166,77.60736604486024,115.65957446808511,FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,1.0,7321.172524126754,0.0
376,115856.35548745126,0.15856355487451257,15856.355487451263,1.1288615663413257,0.32180851063829785,0.3870329545351327,73.25324161163013,115.65957446808511,FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,2.0,6913.125703006246,0.0
364,120322.38280185676,0.20322382801856764,20322.38280185676,1.1801138435706855,0.3241758241758242,0.3505002039952312,73.02119154982798,115.51648351648352,FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,1.0,7677.364434438172,0.0
364,108192.50613135417,0.0819250613135416,8192.506131354166,1.0720703762946442,0.32142857142857145,0.3796942949665552,69.16669898596857,115.51648351648352,FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,2.0,7256.847755687988,0.0
101,132328.71925431973,0.32328719254319727,32328.71925431973,1.6621677250622149,0.38613861386138615,0.20993710478216054,34.669231717101574,118.57425742574257,FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,D2,1.0,8459.663459777312,0.0
101,126565.0250819123,0.26565025081912297,26565.025081912303,1.5256506709927646,0.36633663366336633,0.22744839475086137,33.910505178027805,118.57425742574257,FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,D2,2.0,8220.15200096357,0.0
369,125014.8115766269,0.25014811576626905,25014.811576626904,1.2061527756471135,0.32791327913279134,0.35755460761712166,75.90702016209485,115.96747967479675,FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,1.0,7321.172524126754,0.0
369,111888.41544632948,0.11888415446329481,11888.415446329484,1.097726096891829,0.3252032520325203,0.3870329545351327,71.71536282713186,115.96747967479675,FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,2.0,6913.125703006246,0.0
357,126199.25312677742,0.2619925312677742,26199.253126777417,1.2366252401356148,0.33053221288515405,0.3505002039952312,72.37278748133288,116.10084033613445,FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,E2,1.0,7677.364434438172,0.0
357,113627.40178350442,0.13627401783504411,13627.401783504421,1.1220507261389612,0.3277310924369748,0.3796942949665552,68.58238987012412,116.10084033613445,FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,E2,2.0,7256.847755687988,0.0
