policy_id,portfolio_id,universe_id,cost_multiplier,exit_reason,trade_count,net_pnl,mean_holding_hours
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,1.0,MAX_HOLD_168H,163,108956.30477413979,168.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,191,-90087.89013161798,72.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,2.0,MAX_HOLD_168H,163,97213.77854767226,168.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,191,-90418.90337966674,72.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,1.0,MAX_HOLD_168H,165,112622.88801560756,168.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,199,-92300.50521375077,72.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,2.0,MAX_HOLD_168H,165,100775.67110836256,168.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,199,-92583.1649770084,72.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,E2,1.0,MAX_HOLD_168H,164,116533.67673478948,168.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,E2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,193,-90334.42360801202,72.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,E2,2.0,MAX_HOLD_168H,164,104339.4821377673,168.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,E2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,193,-90712.08035426287,72.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,1.0,MAX_HOLD_168H,48,64907.94096149563,168.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,52,-44855.81616501886,72.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,2.0,MAX_HOLD_168H,48,60955.07496341783,168.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,52,-46164.563132220654,72.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,D2,1.0,MAX_HOLD_168H,49,75142.87050263786,168.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,D2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,52,-42814.151248318085,72.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,D2,2.0,MAX_HOLD_168H,49,70754.67944960477,168.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,D2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,52,-44189.65436769246,72.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,E2,1.0,MAX_HOLD_168H,47,75515.91184715951,168.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,E2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,56,-49974.139135737474,72.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,E2,2.0,MAX_HOLD_168H,47,71165.45463515472,168.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,E2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,56,-51284.47097574989,72.0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,MAX_HOLD_168H,168,110463.95359299296,168.0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,197,-97809.50903511542,72.0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,2.0,MAX_HOLD_168H,168,98190.92858485917,168.0
