trade_id,symbol,entry_timestamp,exit_timestamp,entry_price,exit_price,quantity,entry_fee,exit_fee,gross_pnl,net_pnl,holding_bars,exit_reason
TRADE-000001,ETH/USDT,2020-06-01T00:00:00Z,2020-06-16T00:00:00Z,243.78182999999999,220.16986,43.809755968832974,10.680022481935525,9.645587838292121,-1034.4346436434046,-1054.7602539636323,15,stop_loss
TRADE-000002,ADA/USDT,2020-05-21T00:00:00Z,2020-06-20T00:00:00Z,0.0567993855,0.081797081,147989.35791614148,8.405704590176398,12.105097496604614,3699.3929064282183,3678.8821043414373,30,time_stop_30_bars
TRADE-000003,ADA/USDT,2020-07-03T00:00:00Z,2020-08-02T00:00:00Z,0.096756354,0.1387695805,100690.18277106808,9.742414968522164,13.972734423609444,4230.3194550872795,4206.604305695148,30,time_stop_30_bars
TRADE-000004,BTC/USDT,2020-08-19T00:00:00Z,2020-08-19T00:00:00Z,12286.9404,11369.740857142857,1.28956171460972,15.84476792953144,14.66198251440533,-1182.7854151261083,-1213.292165570045,0,stop_loss
TRADE-000005,ETH/USDT,2020-07-24T00:00:00Z,2020-08-23T00:00:00Z,263.921895,387.76602,64.2754851927822,16.963707854123516,24.92384907677409,7960.141222650569,7918.2536657196715,30,time_stop_30_bars
TRADE-000006,ETH/USDT,2020-09-03T00:00:00Z,2020-09-03T00:00:00Z,475.71774,423.80370642857145,21.959620747481026,10.446581153248784,9.306568664548214,-1140.0124887005688,-1159.765638518366,0,stop_loss
TRADE-000007,ETH/USDT,2020-10-24T00:00:00Z,2020-10-31T00:00:00Z,414.1069499999999,379.4330457142857,33.405965360944656,13.833642427426437,12.675327181929159,-1158.31524549728,-1184.8242151066356,7,stop_loss
TRADE-000008,BTC/USDT,2020-10-14T00:00:00Z,2020-11-13T00:00:00Z,11536.3653,15678.65675,1.9872675310772994,22.92584418733683,31.157685490180935,8231.841302844108,8177.757773166591,30,time_stop_30_bars
TRADE-000009,ETH/USDT,2020-11-08T00:00:00Z,2020-12-08T00:00:00Z,456.077925,601.4991,27.2275782592295,12.417897395244502,16.37736381810611,3959.4664228616084,3930.671161648258,30,time_stop_30_bars
TRADE-000010,ETH/USDT,2020-12-19T00:00:00Z,2020-12-22T00:00:00Z,643.191435,573.6401792857143,18.018140423915842,11.58911359528994,10.33592930317026,-1253.1842921196774,-1275.1093350181377,3,stop_loss
