metric,period,first_disagreement_week,final_disagreement_week,duration_weeks,c2_only,d2_only,recurrence_count,resolved_within_one_week,resolved_within_four_weeks,persistent_4_weeks,persistent_8_weeks,persistent_13_weeks,persistent_26_weeks
TOP_6,FULL,2024-11-25T00:00:00+00:00,2024-11-25T00:00:00+00:00,1,SUI-USDT,XRP-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2019-04-01T00:00:00+00:00,2019-07-08T00:00:00+00:00,15,NEO-USDT,TRX-USDT,1,False,False,True,True,True,False
TOP_6,POST_WARMUP,2019-07-15T00:00:00+00:00,2019-07-29T00:00:00+00:00,3,BCHSV-USDT,TRX-USDT,6,False,True,False,False,False,False
TOP_6,POST_WARMUP,2019-08-05T00:00:00+00:00,2019-08-19T00:00:00+00:00,3,BCHSV-USDT,KCS-USDT,3,False,True,False,False,False,False
TOP_6,POST_WARMUP,2019-08-26T00:00:00+00:00,2019-09-02T00:00:00+00:00,2,BCHSV-USDT,TRX-USDT,6,False,True,False,False,False,False
TOP_6,POST_WARMUP,2019-09-09T00:00:00+00:00,2019-09-16T00:00:00+00:00,2,BCHSV-USDT,KCS-USDT,3,False,True,False,False,False,False
TOP_6,POST_WARMUP,2019-09-23T00:00:00+00:00,2019-09-23T00:00:00+00:00,1,BCHSV-USDT,TRX-USDT,6,True,True,False,False,False,False
TOP_6,POST_WARMUP,2019-10-07T00:00:00+00:00,2019-10-28T00:00:00+00:00,4,BCHSV-USDT,TRX-USDT,6,False,True,True,False,False,False
TOP_6,POST_WARMUP,2019-11-04T00:00:00+00:00,2020-01-13T00:00:00+00:00,11,BCHSV-USDT,LTC-USDT,4,False,False,True,True,False,False
TOP_6,POST_WARMUP,2020-01-20T00:00:00+00:00,2020-03-16T00:00:00+00:00,9,BCHSV-USDT,TRX-USDT,6,False,False,True,True,False,False
TOP_6,POST_WARMUP,2020-03-23T00:00:00+00:00,2020-04-27T00:00:00+00:00,6,BCHSV-USDT,XTZ-USDT,3,False,False,True,False,False,False
TOP_6,POST_WARMUP,2020-05-04T00:00:00+00:00,2020-05-11T00:00:00+00:00,2,BCHSV-USDT,XRP-USDT,2,False,True,False,False,False,False
TOP_6,POST_WARMUP,2020-05-18T00:00:00+00:00,2020-05-25T00:00:00+00:00,2,BCHSV-USDT,XTZ-USDT,3,False,True,False,False,False,False
TOP_6,POST_WARMUP,2020-06-01T00:00:00+00:00,2020-06-08T00:00:00+00:00,2,BCHSV-USDT,TRX-USDT,6,False,True,False,False,False,False
TOP_6,POST_WARMUP,2020-06-15T00:00:00+00:00,2020-06-15T00:00:00+00:00,1,BCHSV-USDT,LTC-USDT,4,True,True,False,False,False,False
TOP_6,POST_WARMUP,2020-07-06T00:00:00+00:00,2020-07-13T00:00:00+00:00,2,BCHSV-USDT,XRP-USDT,2,False,True,False,False,False,False
TOP_6,POST_WARMUP,2020-07-20T00:00:00+00:00,2020-07-20T00:00:00+00:00,1,BCHSV-USDT,ATOM-USDT,3,True,True,False,False,False,False
TOP_6,POST_WARMUP,2020-08-03T00:00:00+00:00,2020-08-17T00:00:00+00:00,3,BCHSV-USDT,XTZ-USDT,3,False,True,False,False,False,False
TOP_6,POST_WARMUP,2020-08-24T00:00:00+00:00,2020-08-24T00:00:00+00:00,1,BCHSV-USDT,LTC-USDT,4,True,True,False,False,False,False
TOP_6,POST_WARMUP,2020-08-31T00:00:00+00:00,2020-08-31T00:00:00+00:00,1,BCHSV-USDT,ATOM-USDT,3,True,True,False,False,False,False
TOP_6,POST_WARMUP,2020-10-26T00:00:00+00:00,2020-10-26T00:00:00+00:00,1,BCHSV-USDT,ADA-USDT,2,True,True,False,False,False,False
TOP_6,POST_WARMUP,2020-11-02T00:00:00+00:00,2020-11-02T00:00:00+00:00,1,BCHSV-USDT,LTC-USDT,4,True,True,False,False,False,False
TOP_6,POST_WARMUP,2020-11-23T00:00:00+00:00,2020-11-23T00:00:00+00:00,1,BCHSV-USDT,ATOM-USDT,3,True,True,False,False,False,False
TOP_6,POST_WARMUP,2020-12-14T00:00:00+00:00,2021-01-11T00:00:00+00:00,5,BCHSV-USDT,ADA-USDT,2,False,False,True,False,False,False
TOP_6,POST_WARMUP,2021-02-08T00:00:00+00:00,2021-02-08T00:00:00+00:00,1,BCHSV-USDT,KCS-USDT,3,True,True,False,False,False,False
TOP_6,POST_WARMUP,2021-02-22T00:00:00+00:00,2021-02-22T00:00:00+00:00,1,XLM-USDT,KCS-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2021-03-29T00:00:00+00:00,2021-04-12T00:00:00+00:00,3,VET-USDT,DOT-USDT,4,False,True,False,False,False,False
TOP_6,POST_WARMUP,2021-04-19T00:00:00+00:00,2021-04-19T00:00:00+00:00,1,VET-USDT,TRX-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2021-04-26T00:00:00+00:00,2021-04-26T00:00:00+00:00,1,VET-USDT,LTC-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2021-05-03T00:00:00+00:00,2021-05-17T00:00:00+00:00,3,VET-USDT,BNB-USDT,2,False,True,False,False,False,False
TOP_6,POST_WARMUP,2021-05-24T00:00:00+00:00,2021-06-07T00:00:00+00:00,3,TEL-USDT,BCH-USDT,1,False,True,False,False,False,False
TOP_6,POST_WARMUP,2021-06-14T00:00:00+00:00,2021-06-21T00:00:00+00:00,2,TEL-USDT,DOT-USDT,2,False,True,False,False,False,False
TOP_6,POST_WARMUP,2021-06-28T00:00:00+00:00,2021-06-28T00:00:00+00:00,1,VET-USDT,DOT-USDT,4,True,True,False,False,False,False
TOP_6,POST_WARMUP,2021-07-05T00:00:00+00:00,2021-07-12T00:00:00+00:00,2,TEL-USDT,DOT-USDT,2,False,True,False,False,False,False
TOP_6,POST_WARMUP,2021-07-26T00:00:00+00:00,2021-08-09T00:00:00+00:00,3,TEL-USDT,DOGE-USDT,1,False,True,False,False,False,False
TOP_6,POST_WARMUP,2021-08-23T00:00:00+00:00,2021-08-23T00:00:00+00:00,1,VET-USDT,DOT-USDT,4,True,True,False,False,False,False
TOP_6,POST_WARMUP,2021-08-30T00:00:00+00:00,2021-09-06T00:00:00+00:00,2,VET-USDT,BNB-USDT,2,False,True,False,False,False,False
TOP_6,POST_WARMUP,2021-09-13T00:00:00+00:00,2021-09-13T00:00:00+00:00,1,VET-USDT,DOT-USDT,4,True,True,False,False,False,False
