period_id,universe_id,landmark_age_hours,risk_set_row_count,valid_feature_row_count,invalid_feature_row_count,unique_control_position_count,unique_pair_count,unique_signal_day_count,minimum_unique_positions_gate,minimum_unique_pairs_gate,minimum_unique_signal_days_gate,support_pass
ROBUSTNESS_2022,C2,24,45,45,0,45,8,22,20,5,10,True
ROBUSTNESS_2022,C2,48,45,45,0,45,8,22,20,5,10,True
ROBUSTNESS_2022,C2,72,21,21,0,21,7,12,20,5,10,True
ROBUSTNESS_2022,C2,96,21,21,0,21,7,12,20,5,10,True
ROBUSTNESS_2022,C2,120,21,21,0,21,7,12,20,5,10,True
ROBUSTNESS_2022,C2,144,21,21,0,21,7,12,20,5,10,True
ROBUSTNESS_2022,D2,24,45,45,0,45,8,22,20,5,10,True
ROBUSTNESS_2022,D2,48,45,45,0,45,8,22,20,5,10,True
ROBUSTNESS_2022,D2,72,21,21,0,21,7,12,20,5,10,True
ROBUSTNESS_2022,D2,96,21,21,0,21,7,12,20,5,10,True
ROBUSTNESS_2022,D2,120,21,21,0,21,7,12,20,5,10,True
ROBUSTNESS_2022,D2,144,21,21,0,21,7,12,20,5,10,True
ROBUSTNESS_2022,E2,24,45,45,0,45,8,22,20,5,10,True
ROBUSTNESS_2022,E2,48,45,45,0,45,8,22,20,5,10,True
ROBUSTNESS_2022,E2,72,21,21,0,21,7,12,20,5,10,True
ROBUSTNESS_2022,E2,96,21,21,0,21,7,12,20,5,10,True
ROBUSTNESS_2022,E2,120,21,21,0,21,7,12,20,5,10,True
ROBUSTNESS_2022,E2,144,21,21,0,21,7,12,20,5,10,True
ROBUSTNESS_2023,C2,24,124,122,2,122,12,69,20,5,10,True
ROBUSTNESS_2023,C2,48,124,121,3,121,12,68,20,5,10,True
ROBUSTNESS_2023,C2,72,60,59,1,59,10,37,20,5,10,True
ROBUSTNESS_2023,C2,96,60,59,1,59,10,37,20,5,10,True
ROBUSTNESS_2023,C2,120,60,59,1,59,10,37,20,5,10,True
ROBUSTNESS_2023,C2,144,60,58,2,58,10,37,20,5,10,True
ROBUSTNESS_2023,D2,24,127,125,2,125,12,69,20,5,10,True
ROBUSTNESS_2023,D2,48,127,125,2,125,12,69,20,5,10,True
ROBUSTNESS_2023,D2,72,60,60,0,60,11,41,20,5,10,True
ROBUSTNESS_2023,D2,96,60,59,1,59,11,40,20,5,10,True
ROBUSTNESS_2023,D2,120,60,59,1,59,11,40,20,5,10,True
ROBUSTNESS_2023,D2,144,60,59,1,59,11,40,20,5,10,True
ROBUSTNESS_2023,E2,24,126,124,2,124,14,71,20,5,10,True
ROBUSTNESS_2023,E2,48,126,123,3,123,14,71,20,5,10,True
ROBUSTNESS_2023,E2,72,60,58,2,58,11,38,20,5,10,True
ROBUSTNESS_2023,E2,96,60,57,3,57,11,37,20,5,10,True
ROBUSTNESS_2023,E2,120,60,57,3,57,11,37,20,5,10,True
ROBUSTNESS_2023,E2,144,60,57,3,57,11,37,20,5,10,True
