comparison,variant,baseline,decision_time,year,scope,top_n,left_eligible_count,right_eligible_count,eligible_count_difference,exact_match,jaccard,overlap_count,symmetric_difference_size,substitution_count,added_assets,removed_assets,rank_displacement_common,spearman_common,turnover_difference,concentration_hhi_difference,top_10_share_difference
D2_vs_C2,D2,C2,2019-01-07T00:00:00+00:00,2019,FULL_ONLY,10,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-07T00:00:00+00:00,2019,FULL_ONLY,30,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-07T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,4,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,6,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,8,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,10,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,30,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,4,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,6,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,8,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,10,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,30,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,4,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,6,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,8,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,10,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,30,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-14T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,4,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,6,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,8,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,10,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,30,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,4,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,6,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,8,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,10,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,30,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,4,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,6,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,8,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,10,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,30,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-21T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,0,0,0,True,1.0,0,0,0.0,,,0.0,,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-01-28T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-04T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-11T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-18T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-02-25T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
A2_vs_C2,A2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,10,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,30,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
B2_vs_C2,B2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,HYSTERESIS,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,4,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,6,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
D2_vs_C2,D2,C2,2019-03-04T00:00:00+00:00,2019,FULL_ONLY,8,2,2,0,True,1.0,2,0,0.0,,,0.0,1.0,0,0.0,0.0
